"","Date","HKK","NewEast","NewWest"
"117",2019-09-01,170.6,166.333333333333,131.875
"118",2019-10-01,186.95,95.8333333333333,71.125
"119",2019-11-01,0,0,0
"120",2019-12-01,15.625,7.16666666666667,9.25
"121",2020-01-01,15.9,29.8333333333333,28.125
"122",2020-02-01,66.975,35.1666666666667,55.625
"123",2020-03-01,51.3,30.1666666666667,37.875
"124",2020-04-01,62.95,48.8333333333333,66.375
"125",2020-05-01,331.125,213.833333333333,284.375
"126",2020-06-01,330.75,408,186.375
"127",2020-07-01,123.325,62.3333333333333,76.25
"128",2020-08-01,459.2,458.666666666667,271.125
"129",2020-09-01,644.5,452.666666666667,190.875
"130",2020-10-01,77.725,59.3333333333333,19.875
"131",2020-11-01,2.75,2.66666666666667,0.375
"132",2020-12-01,0.8,1.5,0.25
"133",2021-01-01,0,0,0
"134",2021-02-01,66.925,43,64.125
"135",2021-03-01,7.325,18,11.25
"136",2021-04-01,32.675,25.8333333333333,27.875
"137",2021-05-01,79.275,89.5,70.375
"138",2021-06-01,576.65,366.5,257.25
"139",2021-07-01,371.475,375.666666666667,219.125
"140",2021-08-01,341.65,463.333333333333,240.125
"141",2021-09-01,67.8,125.333333333333,63.25
"142",2021-10-01,640.325,576.833333333333,395.875
"143",2021-11-01,2.825,4.66666666666667,3.75
"144",2021-12-01,19.1,27.8333333333333,33.25
"145",2022-01-01,4.125,8.33333333333333,6.25
"146",2022-02-01,168.775,183.833333333333,124.5
"147",2022-03-01,82,119,66.125
"148",2022-04-01,4.625,14.5,3.75
"149",2022-05-01,455.05,521.833333333333,373.5
"150",2022-06-01,351.325,361.666666666667,242.75
"151",2022-07-01,139.825,199.666666666667,122
"152",2022-08-01,536.275,559.666666666667,423.75
